E0066
.electrodeNames,A7-6,A7-5,A7-4,A7-3,A7-2,A7-1,A13-4,A13-8,A13-12,A13-16,A13-20,A13-3,A13-7,A13-11,A13-15,A13-19,A13-2,A13-6,A13-10,A13-14,A13-18,A13-1,A13-5,A13-9,A13-13,A13-17,A33-2,A33-4,A33-6,A33-8,A33-10,A33-1,A33-3,A33-5,A33-7,A33-9,A43-4,A43-3,A43-2,A43-1,A47-2,A47-4,A47-6,A47-8,A47-10,A47-1,A47-3,A47-5,A47-7,A47-9,B1-6,B1-5,B1-4,B1-3,B1-2,B1-1,B7-6,B7-5,B7-4,B7-3,B7-2,B7-1,B13-6,B13-5,B13-4,B13-3,B13-2,B13-1,B19-6,B19-5,B19-4,B19-3,B19-2,B19-1,B25-6,B25-5,B25-4,B25-3,B25-2,B25-1
continuous_10k/**.mat ['data_st']['channel_names'],A7,A8,A9,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22,A23,A24,A25,A26,A27,A28,A29,A30,A31,A32,A33,A34,A35,A36,A37,A38,A39,A40,A41,A42,A43,A44,A45,A46,A47,A48,A49,A50,A51,A52,A53,A54,A55,A56,B1,B2,B3,B4,B7,B8,B9,B10,B11,B14,B15,B16,B17,B19,B20,B21,B22,B25,B26,B27,B28
E0068
.electrodeNames,A7-4,A7-8,A7-12,A7-16,A7-20,A7-3,A7-7,A7-11,A7-15,A7-19,A7-2,A7-6,A7-10,A7-14,A7-18,A7-1,A7-5,A7-9,A7-13,A7-17,A27-6,A27-5,A27-4,A27-3,A27-2,A27-1,A33-4,A33-3,A33-2,A33-1,A37-4,A37-3,A37-2,A37-1,B1-6,B1-5,B1-4,B1-3,B1-2,B1-1,B7-6,B7-5,B7-4,B7-3,B7-2,B7-1,B13-6,B13-5,B13-4,B13-3,B13-2,B13-1
continuous_10k/**.mat ['data_st']['channel_names'],A7,A8,A9,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22,A23,A24,A25,A26,A27,A28,A29,A30,A31,A32,A33,A34,A35,A36,A37,A38,A39,A40,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15,B16,B17,B18
E0071
.electrodeNames,A7-2,A7-4,A7-6,A7-8,A7-10,A7-1,A7-3,A7-5,A7-7,A7-9,A17-2,A17-4,A17-6,A17-8,A17-10,A17-1,A17-3,A17-5,A17-7,A17-9,A27-6,A27-5,A27-4,A27-3,A27-2,A27-1,A33-4,A33-3,A33-2,A33-1,A37-6,A37-5,A37-4,A37-3,A37-2,A37-1,A43-6,A43-5,A43-4,A43-3,A43-2,A43-1,A49-6,A49-5,A49-4,A49-3,A49-2,A49-1,B1-2,B1-4,B1-6,B1-8,B1-10,B1-1,B1-3,B1-5,B1-7,B1-9,B11-5,B11-4,B11-3,B11-2,B11-1,B17-6,B17-5,B17-4,B17-3,B17-2,B17-1,B23-6,B23-5,B23-4,B23-3,B23-2,B23-1
continuous_10k/**.mat ['data_st']['channel_names'],A7,A8,A9,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22,A23,A24,A25,A26,A27,A28,A29,A30,A31,A32,A33,A34,A35,A36,A37,A38,A39,A40,A41,A43,A44,A45,A46,A49,A50,A51,A52,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15,B17,B18,B19,B20,B21,B23,B24,B25,B26,B27
E0072
.electrodeNames,A7-4,A7-8,A7-12,A7-16,A7-20,A7-3,A7-7,A7-11,A7-15,A7-19,A7-2,A7-6,A7-10,A7-14,A7-18,A7-1,A7-5,A7-9,A7-13,A7-17,A27-6,A27-5,A27-4,A27-3,A27-2,A27-1,A33-2,A33-4,A33-6,A33-8,A33-10,A33-1,A33-3,A33-5,A33-7,A33-9,A43-6,A43-5,A43-4,A43-3,A43-2,A43-1,A49-6,A49-5,A49-4,A49-3,A49-2,A49-1
continuous_10k/**.mat ['data_st']['channel_names'],A7,A8,A9,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22,A23,A24,A25,A26,A27,A28,A29,A30,A31,A32,A33,A34,A35,A36,A37,A38,A39,A40,A41,A42,A43,A44,A45,A46,A47,A48,A49,A50,A51,A52,A53,A54
E0076
.electrodeNames,A1-8,A1-7,A1-6,A1-5,A1-4,A1-3,A1-2,A1-1,A11-6,A11-5,A11-4,A11-3,A11-2,A11-1,A19-6,A19-5,A19-4,A19-3,A19-2,A19-1,A27-12,A27-11,A27-10,A27-9,A27-8,A27-7,A27-6,A27-5,A27-4,A27-3,A27-2,A27-1,A39-7,A39-6,A39-5,A39-4,A39-3,A39-2,A39-1,A47-5,A47-4,A47-3,A47-2,A47-1,A55-5,A55-4,A55-3,A55-2,A55-1,B1-9,B1-8,B1-7,B1-6,B1-5,B1-4,B1-3,B1-2,B1-1,B11-10,B11-9,B11-8,B11-7,B11-6,B11-5,B11-4,B11-3,B11-2,B11-1,B21-10,B21-9,B21-8,B21-7,B21-6,B21-5,B21-4,B21-3,B21-2,B21-1,B31-5,B31-4,B31-3,B31-2,B31-1
continuous_10k/**.mat ['data_st']['channel_names'],LS1_1,LS1_2,LS1_3,LS1_4,LS1_7,LS1_8,LA1,LA2,LA3,LA4,LA5,LA6,LT1a1,LT1a2,LT1a3,LT1a4,LT1a5,LIa1,LIa2,LIa3,LIa4,LIa5,LIa6,LIa7,LIa8,LIa9,LIa10,LIa11,LIa12,LT1m1,LT1m3,LT1m4,LT1m5,LT1p1,LT1p2,LT1p3,LT1p4,LPH1,LPH2,LPH3,LPH4,LPHp1,LPHp2,LPHp3,LPHp4,LPHp5,LPHp6,LPHp7,LPHp8,LOi1,LOi2,LOi3,LOi4,LOi5,LOi6,LOi7,LOi8,LOi9,LOi10,LN1_1,LN1_2,LN1_3,LN1_4,LN1_5,LN1_6,LN1_7,LN1_8
EJ0008
.electrodeNames,A1-2,A1-4,A1-6,A1-1,A1-3,A1-5,A7-2,A7-4,A7-6,A7-1,A7-3,A7-5,A13-4,A13-3,A13-2,A13-1,A17-4,A17-3,A17-2,A17-1,A21-4,A21-3,A21-2,A21-1,A25-2,A25-4,A25-6,A25-1,A25-3,A25-5,A31-4,A31-8,A31-12,A31-16,A31-20,A31-24,A31-3,A31-7,A31-11,A31-15,A31-19,A31-23,A31-2,A31-6,A31-10,A31-14,A31-18,A31-22,A31-1,A31-5,A31-9,A31-13,A31-17,A31-21,A55-4,A55-3,A55-2,A55-1,A59-4,A59-3,A59-2,A59-1,B3-4,B3-3,B3-2,B3-1
continuous_10k/**.mat ['data_st']['channel_names'],A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22,A23,A24,A25,A26,A27,A28,A29,A30,A31,A32,A33,A34,A35,A36,A37,A38,A39,A40,A41,A42,A43,A44,A45,A46,A47,A48,A49,A50,A51,A52,A53,A54,A55,A56,A57,A58,A59,A60,B1,B2,B3,B4,B5,B6
EJ0009
.electrodeNames,A1-4,A1-8,A1-12,A1-16,A1-20,A1-24,A1-3,A1-7,A1-11,A1-15,A1-19,A1-23,A1-2,A1-6,A1-10,A1-14,A1-18,A1-22,A1-1,A1-5,A1-9,A1-13,A1-17,A1-21,A25-4,A25-3,A25-2,A25-1,A29-4,A29-3,A29-2,A29-1,A33-4,A33-3,A33-2,A33-1,A37-4,A37-3,A37-2,A37-1,A41-3,A41-6,A41-9,A41-2,A41-5,A41-8,A41-1,A41-4,A41-7,A50-3,A50-2,A50-1,A53-4,A53-8,A53-12,A53-16,A53-20,A53-24,A53-3,A53-7,A53-11,A53-15,A53-19,A53-23,A53-2,A53-6,A53-10,A53-14,A53-18,A53-22,A53-1,A53-5,A53-9,A53-13,A53-17,A53-21
continuous_10k/**.mat ['data_st']['channel_names'],A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22,A23,A24,A25,A26,A27,A28,A29,A30,A31,A32,A33,A34,A35,A36,A37,A38,A39,A40,A41,A42,A43,A44,A45,A46,A47,A48,A49,A51,A52,A53,A54,A55,A56,A57,A58,A59,A60,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15,B16
EJ0010
.electrodeNames,A1-4,A1-8,A1-12,A1-16,A1-20,A1-24,A1-3,A1-7,A1-11,A1-15,A1-19,A1-23,A1-2,A1-6,A1-10,A1-14,A1-18,A1-22,A1-1,A1-5,A1-9,A1-13,A1-17,A1-21,A25-4,A25-8,A25-12,A25-16,A25-20,A25-24,A25-3,A25-7,A25-11,A25-15,A25-19,A25-23,A25-2,A25-6,A25-10,A25-14,A25-18,A25-22,A25-1,A25-5,A25-9,A25-13,A25-17,A25-21,A49-4,A49-3,A49-2,A49-1,A53-2,A53-4,A53-6,A53-1,A53-3,A53-5,A59-2,A59-4,A59-6,A59-1,A59-3,A59-5
